===== wnba_2025_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Cecilia Zandalasini,GSV,F,19,450,19,10,450,67,150,",447",37,91,",407",30,59,",508",28,32,",875",5,56,32,18,4,25,33,199
Julie Vanloo,TOT,G,35,449,35,2,449,33,111,",297",25,92,",272",8,19,",421",8,10,",800",4,32,68,15,0,49,45,99
Emma Meesseman,NYL,F,17,440,17,12,440,91,159,",572",14,21,",667",77,138,",558",32,37,",865",22,87,54,21,13,36,26,228
Damiris Dantas,IND,C-F,38,439,38,0,439,63,181,",348",25,95,",263",38,86,",442",24,28,",857",28,91,25,6,3,29,57,175
Sevgi Uzun,TOT,G,25,439,25,3,439,31,95,",326",5,30,",167",26,65,",400",11,16,",688",1,31,63,13,3,43,37,78
Diamond Miller,TOT,F,40,434,40,1,434,54,134,",403",17,51,",333",37,83,",446",35,46,",761",11,52,31,12,7,34,65,160
Kierstan Bell,LVA,F,35,427,35,16,427,52,154,",338",30,103,",291",22,51,",431",12,15,",800",20,62,23,14,11,17,30,146
Grace Berger,TOT,G,19,418,19,13,418,26,89,",292",2,23,",087",24,66,",364",10,15,",667",12,63,58,14,7,21,37,64
Caitlin Clark,IND,G,13,404,13,13,404,72,196,",367",29,104,",279",43,92,",467",41,50,",820",1,65,115,21,7,66,35,214
Sydney Colson,IND,G,30,404,30,6,404,26,76,",342",13,47,",277",13,29,",448",6,7,",857",7,25,60,15,6,35,34,71
Laeticia Amihere,GSV,F,29,385,29,0,385,52,114,",456",3,21,",143",49,93,",527",49,63,",778",35,125,27,17,13,32,36,156
Haley Peters,CON,F-G,33,380,33,2,380,25,82,",305",8,39,",205",17,43,",395",10,13,",769",25,74,25,11,3,22,50,68
Maria Kliundikova,MIN,F,34,373,34,1,373,64,128,",500",8,25,",320",56,103,",544",12,21,",571",43,102,19,25,26,23,48,148
Kalani Brown,PHO,C,29,370,29,1,370,59,96,",615",3,8,",375",56,88,",636",27,35,",771",36,117,16,7,18,23,46,148
Hailey Van Lith,CHI,G,29,361,29,0,361,37,109,",339",5,31,",161",32,78,",410",23,31,",742",4,31,45,12,4,36,22,102
Isabelle Harrison,NYL,F,34,360,34,1,360,65,134,",485",4,15,",267",61,119,",513",33,43,",767",29,89,24,20,2,23,44,167
Shatori Walker-Kimbrough,ATL,G,41,354,41,1,354,26,63,",413",11,31,",355",15,32,",469",8,11,",727",3,37,22,10,11,15,24,71
Maddy Westbeld,CHI,F,26,354,26,1,354,38,105,",362",17,43,",395",21,62,",339",14,16,",875",21,62,23,13,7,16,42,107
Nyara Sabally,NYL,C,17,305,17,10,305,37,76,",487",1,7,",143",36,69,",522",17,25,",680",27,77,13,9,17,16,37,92
Shey Peddy,TOT,G,15,265,15,5,265,27,55,",491",16,35,",457",11,20,",550",7,9,",778",7,25,31,6,0,13,20,77
Zia Cooke,SEA,G,26,261,26,0,261,30,84,",357",15,38,",395",15,46,",326",15,23,",652",6,14,14,10,1,22,26,90
Kaitlyn Chen,GSV,G,24,247,24,0,247,19,50,",380",5,15,",333",14,35,",400",5,7,",714",5,22,24,5,0,18,16,48
Cameron Brink,LAS,F,19,244,19,0,244,35,82,",427",10,34,",294",25,48,",521",16,21,",762",26,82,9,10,26,25,48,96
Brianna Turner,IND,F-C,27,233,27,0,233,13,32,",406",0,1,",000",13,31,",419",4,8,",500",18,50,17,2,8,9,23,30
Karlie Samuelson,MIN,G,16,228,16,4,228,14,42,",333",12,34,",353",2,8,",250",13,14,",929",3,20,17,6,1,11,26,53
Lexie Brown,SEA,G,24,227,24,0,227,17,48,",354",10,37,",270",7,11,",636",7,10,",700",2,17,23,9,1,6,20,51
Megan Gustafson,LVA,C,20,226,20,1,226,20,57,",351",13,39,",333",7,18,",389",7,15,",467",8,36,5,3,6,6,42,60
Teaira McCowan,DAL,C,17,219,17,0,219,36,67,",537",1,2,",500",35,65,",538",22,29,",759",30,78,10,5,12,16,24,95
Makayla Timpson,IND,F-C,31,219,31,0,219,32,57,",561",0,0,0,32,57,",561",18,27,",667",18,57,1,13,8,8,24,82
Emma Cannon,LAS,F,21,213,21,0,213,32,63,",508",14,36,",389",18,27,",667",15,23,",652",11,38,8,10,1,16,36,93
Courtney Vandersloot,CHI,G,7,191,7,7,191,29,66,",439",5,23,",217",24,43,",558",11,13,",846",2,22,37,11,2,17,13,74
Aerial Powers,TOT,G,10,167,10,0,167,27,65,",415",7,19,",368",20,46,",435",13,19,",684",10,39,20,8,1,11,19,74
Mercedes Russell,LAS,C,20,163,20,0,163,12,27,",444",0,0,0,12,27,",444",10,14,",714",10,24,12,5,4,7,17,34
Amy Okonkwo,DAL,F,8,157,8,1,157,30,61,",492",10,30,",333",20,31,",645",18,20,",900",7,25,6,11,1,7,11,88
